City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,lata,40.1629,-8.3327,22.82,84,87,2.03,PT,1722284721
113,filadelfia,39.9523,-75.1638,32.5,57,75,3.6,US,1722284686
114,laojunmiao,39.8333,97.7333,22.54,23,6,2.56,CN,1722284723
115,antsiranana,-12.2787,49.2917,22.99,77,13,6.54,MG,1722284725
116,margaret river,-33.95,115.0667,13.78,77,0,3.77,AU,1722284726
117,teruel,40.6667,-0.6667,23.06,51,86,2.8,ES,1722284727
118,christchurch,-43.5333,172.6333,8.3,96,100,9.26,NZ,1722284464
119,luderitz,-26.6481,15.1594,12.34,64,55,8.33,NA,1722284729
120,hadibu,12.65,54.0333,26.02,81,100,8.86,YE,1722284731
121,hamilton,39.1834,-84.5333,29.49,72,40,5.14,US,1722284732
122,ambon,-3.6954,128.1814,26.6,95,40,2.06,ID,1722284733
123,xixiang,35.1628,112.865,25.66,94,36,2.69,CN,1722284734
124,rongelap,11.1635,166.8941,26.69,78,100,6.82,MH,1722284735
125,yeppoon,-23.1333,150.7333,6.88,56,0,2.83,AU,1722284736
126,romanovskaya,47.5426,42.0285,26.16,40,6,4.05,RU,1722284738
127,illizi,26.4833,8.4667,35.89,13,0,4.44,DZ,1722284739
128,bredasdorp,-34.5322,20.0403,10.25,94,100,2.84,ZA,1722284740
129,callao,-12.0667,-77.15,23.01,80,78,3.13,PE,1722284741
130,longyearbyen,78.2186,15.6401,8.91,87,75,5.66,SJ,1722284743
131,hawaiian paradise park,19.5933,-154.9731,27.15,75,100,3.6,US,1722284744
132,chela,34.069,104.4619,9.51,90,30,2.68,CN,1722284745
133,gilgit,35.9221,74.3087,30.32,44,98,2.05,PK,1722284746
134,preobrazheniye,42.9019,133.9064,18.87,99,69,3.48,RU,1722284747
135,smyrna,33.884,-84.5144,30.59,74,75,4.12,US,1722284749
136,kukawa,12.9234,13.5606,25.27,81,20,6.67,NG,1722284750
137,qaqortoq,60.7167,-46.0333,6.61,75,100,2.28,GL,1722284751
138,garachico,28.7781,-17.7646,21.06,83,20,4.12,ES,1722284752
139,salahonda,2.1019,-78.7217,26.73,85,68,6.73,CO,1722284753
140,oulad teima,30.3947,-9.209,21.6,75,0,4.24,MA,1722284755
141,samarinda,-0.5,117.15,23.22,99,50,0.59,ID,1722284756
142,xining,36.6167,101.7667,12.48,67,0,1.25,CN,1722284757
143,geraldton,-28.7667,114.6,16.23,94,75,2.06,AU,1722284758
144,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1722284468
145,sao jose da coroa grande,-8.8978,-35.1478,24.76,85,98,5.29,BR,1722284761
146,bilibino,68.0546,166.4372,8.13,64,97,1.77,RU,1722284762
147,sucre,-19.0333,-65.2627,12.91,68,83,4.54,BO,1722284763
148,tommot,58.9564,126.2925,16.3,96,94,1.17,RU,1722284764
149,dapchi,12.4904,11.4944,29.29,56,100,4.56,NG,1722284767
150,egilsstadir,65.2653,-14.3948,11.95,76,75,7.2,IS,1722284768
151,bargaal,11.2864,51.0773,27.29,74,100,7.46,SO,1722284769
152,ribeira grande,38.5167,-28.7,26.22,69,40,6.69,PT,1722284770
153,seydi,39.4816,62.9137,29.3,17,1,7.59,TM,1722284771
154,roxas,11.5853,122.7511,24.52,89,53,1.77,PH,1722284773
155,ketchikan,55.3422,-131.6461,18.26,72,40,3.6,US,1722284774
156,alexandria,31.2156,29.9553,26.3,68,0,4.21,EG,1722284775
